Period;Value;HS_Commodity;Trade_Flow;Indicator;Reporter_Country;Partner_Country
Sep 2023;5;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Dec 2022;5;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Dec 2022;5;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Feb 2025;5;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Oct 2025;5;2504 - Natural graphite.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jul 2023;5;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Feb 2025;5;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jul 2023;5;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Sep 2023;5;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Feb 2025;5;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
Jan 2024;6;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jan 2022;6;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jan 2022;6;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jan 2024;6;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jun 2025;9;2504 - Natural graphite.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Apr 2022;9;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Apr 2022;9;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jun 2025;9;2504 - Natural graphite.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Apr 2022;9;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Apr 2022;9;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
