Period;Value;HS_Commodity;Trade_Flow;Indicator;Reporter_Country;Partner_Country
Dec 2023;8120;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Uganda;SADC
Mar 2025;8180;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Mar 2025;8180;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
May 2020;8190;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2020;8190;2616 - Precious metal ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2020;8190;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
May 2020;8190;2616 - Precious metal ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
May 2020;8260;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Uganda;SADC
Apr 2021;8390;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Uganda;SADC
Dec 2022;8400;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);Kenya;SADC
Dec 2022;8400;2606 - Aluminium ores and concentrates.;Total Imports;Quantity;Kenya;SADC
Sep 2020;8480;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Sep 2020;8480;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Dec 2021;8520;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Dec 2021;8520;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Feb 2023;8850;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Feb 2023;8850;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Jun 2024;8860;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Jun 2024;8860;2603 - Copper ores and concentrates.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Jun 2024;8860;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;SADC
Jun 2024;8860;2603 - Copper ores and concentrates.;Total Imports;Quantity;United Republic of Tanzania;SADC
Jun 2020;8977;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Uganda;SADC
Sep 2023;9000;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Sep 2023;9000;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
May 2023;9000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Uganda;SADC
Dec 2023;9150;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Dec 2023;9150;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Aug 2020;9200;2504 - Natural graphite.;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jun 2023;9200;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Aug 2020;9200;2504 - Natural graphite.;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
Jun 2023;9200;2504 - Natural graphite.;Total Imports;Quantity;Kenya;European Union All Countries
Jan 2020;9215;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Jan 2020;9215;2616 - Precious metal ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Jan 2020;9215;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jan 2020;9215;2616 - Precious metal ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Apr 2021;9240;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Apr 2021;9240;2609 - Tin ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Apr 2021;9240;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Apr 2021;9240;2609 - Tin ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jan 2020;9280;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Dec 2023;9317;2504 - Natural graphite.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Dec 2023;9317;2504 - Natural graphite.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
May 2025;9340;2603 - Copper ores and concentrates.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2025;9340;2603 - Copper ores and concentrates.;Total Imports;Quantity;United Republic of Tanzania;SADC
Nov 2023;9400;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Nov 2023;9400;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Feb 2023;9480;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Uganda;SADC
Feb 2023;9480;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Uganda;SADC
Mar 2023;9490;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Mar 2023;9490;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Apr 2023;9757;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Uganda;SADC
Apr 2024;9984;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Apr 2024;9984;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Apr 2024;9984;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Apr 2024;9984;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Nov 2020;10000;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Oct 2021;10000;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Oct 2023;10000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;SADC
Apr 2021;10000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Rwanda;SADC
Sep 2025;10000;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Kenya;SADC
Jul 2024;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;SADC
Jul 2024;10000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;SADC
Nov 2020;10000;2504 - Natural graphite.;Total Imports;Quantity;Kenya;European Union All Countries
Oct 2021;10000;2504 - Natural graphite.;Total Imports;Quantity;Kenya;European Union All Countries
Apr 2021;10000;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;SADC
Sep 2025;10000;26 - Ores, slag and ash.;Total Imports;Quantity;Kenya;SADC
Oct 2023;10000;2603 - Copper ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Oct 2023;10000;2609 - Tin ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Sep 2021;10000;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
Jun 2024;10000;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
Sep 2021;10000;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Imports;Quantity;Kenya;European Union All Countries
Jun 2024;10000;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Imports;Quantity;Kenya;European Union All Countries
Dec 2020;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;Kenya;European Union All Countries
Dec 2021;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;Kenya;European Union All Countries
Sep 2022;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;Kenya;European Union All Countries
Dec 2022;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;Kenya;European Union All Countries
Jun 2021;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
Mar 2022;10000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;ASEAN
Dec 2020;10000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;Kenya;European Union All Countries
Dec 2021;10000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;Kenya;European Union All Countries
Sep 2022;10000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;Kenya;European Union All Countries
Dec 2022;10000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;Kenya;European Union All Countries
Jun 2021;10000;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Quantity;Kenya;European Union All Countries
Mar 2022;10000;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Quantity;Kenya;ASEAN
Jun 2021;10000;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
Aug 2021;10000;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
Mar 2025;10000;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
May 2024;10001;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
May 2024;10001;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
May 2024;10001;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
May 2024;10001;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Dec 2022;10040;2603 - Copper ores and concentrates.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Feb 2024;10200;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;SADC
Feb 2024;10200;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;SADC
Oct 2023;10382;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Sep 2024;10530;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Sep 2024;10530;2504 - Natural graphite.;Total Imports;Quantity;Kenya;European Union All Countries
Oct 2022;10783;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;FOB Value (US$);United Republic of Tanzania;European Union All Countries
Oct 2022;10783;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;FOB Value (US$);United Republic of Tanzania;European Union All Countries
Jan 2024;10881;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);Uganda;SADC
Jan 2024;10881;2603 - Copper ores and concentrates.;Total Imports;CIF Value (US$);Uganda;SADC
Feb 2020;10881;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Exports;FOB Value (US$);Uganda;SADC
Feb 2020;10881;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Exports;FOB Value (US$);Uganda;SADC
Jan 2022;10920;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jan 2022;10920;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;SADC
Mar 2023;11179;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Mar 2023;11179;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Mar 2023;11179;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Mar 2023;11179;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
May 2023;11400;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Uganda;SADC
Aug 2020;11430;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Jul 2020;11587;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Uganda;SADC
Jun 2022;11600;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);Rwanda;SADC
Jun 2022;11600;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Exports;Net Weight(Kg);Rwanda;SADC
Jun 2022;11600;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;Rwanda;SADC
Jun 2022;11600;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Exports;Quantity;Rwanda;SADC
Jul 2021;11878;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);Uganda;SADC
Jul 2021;11878;2603 - Copper ores and concentrates.;Total Imports;CIF Value (US$);Uganda;SADC
Mar 2023;12011;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Mar 2023;12011;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Mar 2023;12011;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Mar 2023;12011;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Oct 2025;12300;26 - Ores, slag and ash.;Total Imports;Quantity;DR Congo;ASEAN
Jul 2023;12316;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;DR Congo;ASEAN
May 2021;12438;2616 - Precious metal ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
May 2021;12438;2616 - Precious metal ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Oct 2020;12490;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Mar 2021;13022;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;DR Congo;ASEAN
Mar 2021;13022;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;DR Congo;ASEAN
Feb 2020;13170;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Uganda;SADC
Feb 2020;13170;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
May 2021;13420;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Uganda;SADC
May 2021;13420;2504 - Natural graphite.;Re-imports;Net Weight(Kg);Uganda;SADC
Jun 2020;13420;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Feb 2020;13700;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);Kenya;SADC
Feb 2020;13700;71069100 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Unwrought;Total Exports;Net Weight(Kg);Kenya;SADC
Dec 2021;14110;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;European Union All Countries
Dec 2021;14110;2616 - Precious metal ores and concentrates.;Total Imports;Net Weight(Kg);DR Congo;European Union All Countries
Apr 2023;14332;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);Uganda;SADC
Apr 2023;14332;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;CIF Value (US$);Uganda;SADC
Apr 2023;14332;26011100 - Iron ores and concentrates, including roasted iron pyrites. - Iron ores and concentrates, other than roasted iron pyrites: -- Non-agglomerated;Total Imports;CIF Value (US$);Uganda;SADC
Dec 2021;14350;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Uganda;SADC
Mar 2025;14526;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Mar 2025;14526;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Mar 2025;14526;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Mar 2025;14526;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Feb 2023;15000;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Uganda;SADC
Mar 2025;15270;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);DR Congo;SADC
Mar 2025;15270;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);DR Congo;SADC
Mar 2022;15640;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Aug 2023;15680;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Uganda;European Union All Countries
Aug 2023;15680;2606 - Aluminium ores and concentrates.;Total Exports;Net Weight(Kg);Uganda;European Union All Countries
Aug 2023;15680;26 - Ores, slag and ash.;Total Exports;Quantity;Uganda;European Union All Countries
Aug 2023;15680;2606 - Aluminium ores and concentrates.;Total Exports;Quantity;Uganda;European Union All Countries
Dec 2021;15725;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Dec 2021;15725;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Dec 2021;15725;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;SADC
Dec 2021;15725;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;SADC
Mar 2023;16000;2616 - Precious metal ores and concentrates.;Total Exports;FOB Value (US$);United Republic of Tanzania;ASEAN
Mar 2021;16160;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Uganda;SADC
Mar 2021;16160;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Jun 2021;16420;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Sep 2020;16490;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Jan 2020;16667;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
Jan 2020;16667;2616 - Precious metal ores and concentrates.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
Nov 2020;16700;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Feb 2020;16730;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Feb 2020;16730;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;SADC
Feb 2021;16740;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Uganda;SADC
Feb 2021;16740;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Feb 2021;16740;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Uganda;SADC
Feb 2021;16740;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Quantity;Uganda;SADC
Jan 2025;17065;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Jan 2025;17065;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Jan 2025;17065;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Jan 2025;17065;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
May 2025;17350;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);DR Congo;SADC
May 2025;17350;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);DR Congo;SADC
Jul 2023;17520;2504 - Natural graphite.;Total Exports;Net Weight(Kg);Rwanda;SADC
Jul 2023;17520;2504 - Natural graphite.;Total Exports;Quantity;Rwanda;SADC
Feb 2025;18100;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);DR Congo;SADC
Feb 2025;18100;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);DR Congo;SADC
Jul 2020;18200;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Nov 2024;18280;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Uganda;SADC
Nov 2024;18280;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Uganda;SADC
Jan 2023;18570;2609 - Tin ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;SADC
May 2021;18870;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Oct 2020;18980;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);Kenya;SADC
Oct 2020;18980;71069100 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Unwrought;Total Exports;Net Weight(Kg);Kenya;SADC
Feb 2021;19000;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Uganda;European Union All Countries
Feb 2021;19000;2504 - Natural graphite.;Total Imports;Quantity;Uganda;European Union All Countries
