Period,HS_Commodity,Trade_Flow,Reporter_Country,Partner_Country,CIF_Value_USD,FOB_Value_USD,Net_Weight_Kg,Quantity_Units,Unit_Value,HS_Level
Feb 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,100001.0,60.0,110.0,1666.6833055552784,4.0
Feb 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,339997.0,10200.0,110.0,33.33303921241833,4.0
Feb 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,234150122.0,90250830.0,110.0,2.594437325396314,4.0
Feb 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3030147673.0,122714530.0,110.0,24.692655979695115,4.0
Jan 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,2040000.0,1500000.0,110.0,1.3599999999990933,4.0
Jan 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,220880.0,192050.0,110.0,1.1501171569843784,4.0
Jan 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,649589875.0,754400.0,110.0,861.0682330317323,4.0
Jan 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2503379977.0,2252480.0,110.0,1111.3883261999613,4.0
Jan 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,4112409998.0,30.0,779877.0,137080328.69732237,4.0
Jan 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,2638203475.0,108689540.0,110.0,24.272836880163226,4.0
Jan 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,3002265579.0,730.0,110.0,4112692.5683387774,4.0
Jan 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,4364394254.0,150635270.0,110.0,28.97325609068826,4.0
Jul 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,4346880004.0,4608000.0,110.0,943.333334201184,4.0
Jul 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,916795106.0,906540.0,70.0,1011.3123590784616,4.0
Jul 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,2382215907.0,0.0,119115000.0,110.0,19.999294018385427,4.0
Jul 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,124224001.0,960000.0,110.0,129.40000104153188,4.0
Jul 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1067900002.0,8256450.0,110.0,129.3413031024073,4.0
Jul 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,600196.0,330.0,110.0,1818.775752064316,4.0
Jul 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2274655.0,22870.0,110.0,99.46020987759246,4.0
Jul 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,1072198425.0,1209020.0,110.0,886.8326619899697,4.0
Jul 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,1101186.0,1209020.0,110.0,0.9108087541968612,4.0
Jul 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,7210111189.0,132971580.0,110.0,54.22294891133839,4.0
Jul 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,European Union All Countries,3647709.0,0.0,175620.0,170.0,20.770464639444423,4.0
Jul 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,0.0,0.0,1152850.0,22900.0,0.0,4.0
Jun 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,3200639996.0,3456000.0,110.0,926.1111099534356,4.0
Jun 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1380999999.0,1793850.0,110.0,769.8525512162278,4.0
Jun 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,412874492.0,0.0,207183200.0,110.0,1.9927990879569288,4.0
Jun 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,9373269515.0,6765690.0,110.0,1385.412207032633,4.0
Jun 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,30697890.0,590.0,28173727.0,52030.32194571132,4.0
